,CPI
2018-01-01,248.859
2018-01-08,
2018-01-15,
2018-01-22,
2018-01-29,
2018-02-05,249.529
2018-02-12,
2018-02-19,
2018-02-26,
2018-03-05,249.577
2018-03-12,
2018-03-19,
2018-03-26,
2018-04-02,250.227
2018-04-09,
2018-04-16,
2018-04-23,
2018-04-30,
2018-05-07,250.792
2018-05-14,
2018-05-21,
2018-05-28,
2018-06-04,251.018
2018-06-11,
2018-06-18,
2018-06-25,
2018-07-02,251.214
2018-07-09,
2018-07-16,
2018-07-23,
2018-07-30,
2018-08-06,251.663
2018-08-13,
2018-08-20,
2018-08-27,
2018-09-03,252.182
2018-09-10,
2018-09-17,
2018-09-24,
2018-10-01,252.772
2018-10-08,
2018-10-15,
2018-10-22,
2018-10-29,
2018-11-05,252.594
2018-11-12,
2018-11-19,
2018-11-26,
2018-12-03,252.767
2018-12-10,
2018-12-17,
2018-12-24,
2018-12-31,
2019-01-07,252.561
2019-01-14,
2019-01-21,
2019-01-28,
2019-02-04,253.319
2019-02-11,
2019-02-18,
2019-02-25,
2019-03-04,254.277
2019-03-11,
2019-03-18,
2019-03-25,
2019-04-01,255.233
2019-04-08,
2019-04-15,
2019-04-22,
2019-04-29,
2019-05-06,255.296
2019-05-13,
2019-05-20,
2019-05-27,
2019-06-03,255.213
2019-06-10,
2019-06-17,
2019-06-24,
2019-07-01,255.802
2019-07-08,
2019-07-15,
2019-07-22,
2019-07-29,
2019-08-05,256.036
2019-08-12,
2019-08-19,
2019-08-26,
2019-09-02,256.43
2019-09-09,
2019-09-16,
2019-09-23,
2019-09-30,
2019-10-07,257.155
2019-10-14,
2019-10-21,
2019-10-28,
2019-11-04,257.879
2019-11-11,
2019-11-18,
2019-11-25,
2019-12-02,258.63
2019-12-09,
2019-12-16,
2019-12-23,
2019-12-30,
2020-01-06,259.127
2020-01-13,
2020-01-20,
2020-01-27,
2020-02-03,259.25
2020-02-10,
2020-02-17,
2020-02-24,
2020-03-02,258.076
2020-03-09,
2020-03-16,
2020-03-23,
2020-03-30,
2020-04-06,256.032
2020-04-13,
2020-04-20,
2020-04-27,
2020-05-04,255.802
2020-05-11,
2020-05-18,
2020-05-25,
2020-06-01,257.042
2020-06-08,
2020-06-15,
2020-06-22,
2020-06-29,
2020-07-06,258.352
2020-07-13,
2020-07-20,
2020-07-27,
2020-08-03,259.316
2020-08-10,
2020-08-17,
2020-08-24,
2020-08-31,
2020-09-07,259.997
2020-09-14,
2020-09-21,
2020-09-28,
2020-10-05,260.319
2020-10-12,
2020-10-19,
2020-10-26,
2020-11-02,260.911
2020-11-09,
2020-11-16,
2020-11-23,
2020-11-30,
2020-12-07,262.045
2020-12-14,
2020-12-21,
2020-12-28,
2021-01-04,262.639
2021-01-11,
2021-01-18,
2021-01-25,
2021-02-01,263.573
2021-02-08,
2021-02-15,
2021-02-22,
2021-03-01,264.847
2021-03-08,
2021-03-15,
2021-03-22,
2021-03-29,
2021-04-05,266.625
2021-04-12,
2021-04-19,
2021-04-26,
2021-05-03,268.404
2021-05-10,
2021-05-17,
2021-05-24,
2021-05-31,
2021-06-07,270.71
2021-06-14,
2021-06-21,
2021-06-28,
2021-07-05,271.965
2021-07-12,
2021-07-19,
2021-07-26,
2021-08-02,272.752
2021-08-09,
2021-08-16,
2021-08-23,
2021-08-30,
2021-09-06,273.942
2021-09-13,
2021-09-20,
2021-09-27,
2021-10-04,276.528
2021-10-11,
