Category: All categories

Month,starbucks: (United States)
2017-12,69
2018-01,55
2018-02,48
2018-03,56
2018-04,69
2018-05,64
2018-06,64
2018-07,63
2018-08,68
2018-09,63
2018-10,59
2018-11,74
2018-12,77
2019-01,61
2019-02,56
2019-03,62
2019-04,64
2019-05,82
2019-06,70
2019-07,72
2019-08,67
2019-09,71
2019-10,66
2019-11,80
2019-12,86
2020-01,67
2020-02,63
2020-03,64
2020-04,54
2020-05,71
2020-06,74
2020-07,66
2020-08,68
2020-09,64
2020-10,63
2020-11,79
2020-12,81
2021-01,71
2021-02,62
2021-03,68
2021-04,70
2021-05,74
2021-06,71
2021-07,69
2021-08,75
2021-09,75
2021-10,69
2021-11,93
2021-12,85
2022-01,73
2022-02,64
2022-03,66
2022-04,63
2022-05,65
2022-06,69
2022-07,72
2022-08,66
2022-09,67
2022-10,68
2022-11,81
2022-12,78
2023-01,61
2023-02,61
2023-03,59
2023-04,64
2023-05,65
2023-06,64
2023-07,64
2023-08,67
2023-09,71
2023-10,65
2023-11,82
2023-12,74
2024-01,65
2024-02,50
2024-03,55
2024-04,52
2024-05,59
2024-06,54
2024-07,55
2024-08,62
2024-09,57
2024-10,52
2024-11,69
2024-12,65
2025-01,57
2025-02,54
2025-03,54
2025-04,52
2025-05,56
2025-06,53
2025-07,56
2025-08,62
2025-09,61
2025-10,57
2025-11,100
2025-12,61
