Date,gt_interest
2017-12-04,69
2017-12-11,69
2017-12-18,69
2017-12-25,69
2018-01-01,55
2018-01-08,55
2018-01-15,55
2018-01-22,55
2018-01-29,55
2018-02-05,48
2018-02-12,48
2018-02-19,48
2018-02-26,48
2018-03-05,56
2018-03-12,56
2018-03-19,56
2018-03-26,56
2018-04-02,69
2018-04-09,69
2018-04-16,69
2018-04-23,69
2018-04-30,69
2018-05-07,64
2018-05-14,64
2018-05-21,64
2018-05-28,64
2018-06-04,64
2018-06-11,64
2018-06-18,64
2018-06-25,64
2018-07-02,63
2018-07-09,63
2018-07-16,63
2018-07-23,63
2018-07-30,63
2018-08-06,68
2018-08-13,68
2018-08-20,68
2018-08-27,68
2018-09-03,63
2018-09-10,63
2018-09-17,63
2018-09-24,63
2018-10-01,59
2018-10-08,59
2018-10-15,59
2018-10-22,59
2018-10-29,59
2018-11-05,74
2018-11-12,74
2018-11-19,74
2018-11-26,74
2018-12-03,77
2018-12-10,77
2018-12-17,77
2018-12-24,77
2018-12-31,77
2019-01-07,61
2019-01-14,61
2019-01-21,61
2019-01-28,61
2019-02-04,56
2019-02-11,56
2019-02-18,56
2019-02-25,56
2019-03-04,62
2019-03-11,62
2019-03-18,62
2019-03-25,62
2019-04-01,64
2019-04-08,64
2019-04-15,64
2019-04-22,64
2019-04-29,64
2019-05-06,82
2019-05-13,82
2019-05-20,82
2019-05-27,82
2019-06-03,70
2019-06-10,70
2019-06-17,70
2019-06-24,70
2019-07-01,72
2019-07-08,72
2019-07-15,72
2019-07-22,72
2019-07-29,72
2019-08-05,67
2019-08-12,67
2019-08-19,67
2019-08-26,67
2019-09-02,71
2019-09-09,71
2019-09-16,71
2019-09-23,71
2019-09-30,71
2019-10-07,66
2019-10-14,66
2019-10-21,66
2019-10-28,66
2019-11-04,80
2019-11-11,80
2019-11-18,80
2019-11-25,80
2019-12-02,86
2019-12-09,86
2019-12-16,86
2019-12-23,86
2019-12-30,86
2020-01-06,67
2020-01-13,67
2020-01-20,67
2020-01-27,67
2020-02-03,63
2020-02-10,63
2020-02-17,63
2020-02-24,63
2020-03-02,64
2020-03-09,64
2020-03-16,64
2020-03-23,64
2020-03-30,64
2020-04-06,54
2020-04-13,54
2020-04-20,54
2020-04-27,54
2020-05-04,71
2020-05-11,71
2020-05-18,71
2020-05-25,71
2020-06-01,74
2020-06-08,74
2020-06-15,74
2020-06-22,74
2020-06-29,74
2020-07-06,66
2020-07-13,66
2020-07-20,66
2020-07-27,66
2020-08-03,68
2020-08-10,68
2020-08-17,68
2020-08-24,68
2020-08-31,68
2020-09-07,64
2020-09-14,64
2020-09-21,64
2020-09-28,64
2020-10-05,63
2020-10-12,63
2020-10-19,63
2020-10-26,63
2020-11-02,79
2020-11-09,79
2020-11-16,79
2020-11-23,79
2020-11-30,79
2020-12-07,81
2020-12-14,81
2020-12-21,81
2020-12-28,81
2021-01-04,71
2021-01-11,71
2021-01-18,71
2021-01-25,71
2021-02-01,62
2021-02-08,62
2021-02-15,62
2021-02-22,62
2021-03-01,68
2021-03-08,68
2021-03-15,68
2021-03-22,68
2021-03-29,68
2021-04-05,70
2021-04-12,70
2021-04-19,70
2021-04-26,70
2021-05-03,74
2021-05-10,74
2021-05-17,74
2021-05-24,74
2021-05-31,74
2021-06-07,71
2021-06-14,71
2021-06-21,71
2021-06-28,71
2021-07-05,69
2021-07-12,69
2021-07-19,69
2021-07-26,69
2021-08-02,75
2021-08-09,75
2021-08-16,75
2021-08-23,75
2021-08-30,75
2021-09-06,75
2021-09-13,75
2021-09-20,75
2021-09-27,75
2021-10-04,69
2021-10-11,69
2021-10-18,69
2021-10-25,69
2021-11-01,93
2021-11-08,93
2021-11-15,93
2021-11-22,93
2021-11-29,93
2021-12-06,85
2021-12-13,85
2021-12-20,85
2021-12-27,85
2022-01-03,73
2022-01-10,73
2022-01-17,73
2022-01-24,73
2022-01-31,73
2022-02-07,64
2022-02-14,64
2022-02-21,64
2022-02-28,64
2022-03-07,66
2022-03-14,66
2022-03-21,66
2022-03-28,66
2022-04-04,63
2022-04-11,63
2022-04-18,63
2022-04-25,63
2022-05-02,65
2022-05-09,65
2022-05-16,65
2022-05-23,65
2022-05-30,65
2022-06-06,69
2022-06-13,69
2022-06-20,69
2022-06-27,69
2022-07-04,72
2022-07-11,72
2022-07-18,72
2022-07-25,72
2022-08-01,66
2022-08-08,66
2022-08-15,66
2022-08-22,66
2022-08-29,66
2022-09-05,67
2022-09-12,67
2022-09-19,67
2022-09-26,67
2022-10-03,68
2022-10-10,68
2022-10-17,68
2022-10-24,68
2022-10-31,68
2022-11-07,81
2022-11-14,81
2022-11-21,81
2022-11-28,81
2022-12-05,78
2022-12-12,78
2022-12-19,78
2022-12-26,78
2023-01-02,61
2023-01-09,61
2023-01-16,61
2023-01-23,61
2023-01-30,61
2023-02-06,61
2023-02-13,61
2023-02-20,61
2023-02-27,61
2023-03-06,59
2023-03-13,59
2023-03-20,59
2023-03-27,59
2023-04-03,64
2023-04-10,64
2023-04-17,64
2023-04-24,64
2023-05-01,65
2023-05-08,65
2023-05-15,65
2023-05-22,65
2023-05-29,65
2023-06-05,64
2023-06-12,64
2023-06-19,64
2023-06-26,64
2023-07-03,64
2023-07-10,64
2023-07-17,64
2023-07-24,64
2023-07-31,64
2023-08-07,67
2023-08-14,67
2023-08-21,67
2023-08-28,67
2023-09-04,71
2023-09-11,71
2023-09-18,71
2023-09-25,71
2023-10-02,65
2023-10-09,65
2023-10-16,65
2023-10-23,65
2023-10-30,65
2023-11-06,82
2023-11-13,82
2023-11-20,82
2023-11-27,82
2023-12-04,74
2023-12-11,74
2023-12-18,74
2023-12-25,74
2024-01-01,65
2024-01-08,65
2024-01-15,65
2024-01-22,65
2024-01-29,65
2024-02-05,50
2024-02-12,50
2024-02-19,50
2024-02-26,50
2024-03-04,55
2024-03-11,55
2024-03-18,55
2024-03-25,55
2024-04-01,52
2024-04-08,52
2024-04-15,52
2024-04-22,52
2024-04-29,52
2024-05-06,59
2024-05-13,59
2024-05-20,59
2024-05-27,59
2024-06-03,54
2024-06-10,54
2024-06-17,54
2024-06-24,54
2024-07-01,55
2024-07-08,55
2024-07-15,55
2024-07-22,55
2024-07-29,55
2024-08-05,62
2024-08-12,62
2024-08-19,62
2024-08-26,62
2024-09-02,57
2024-09-09,57
2024-09-16,57
2024-09-23,57
2024-09-30,57
2024-10-07,52
2024-10-14,52
2024-10-21,52
2024-10-28,52
2024-11-04,69
2024-11-11,69
2024-11-18,69
2024-11-25,69
2024-12-02,65
2024-12-09,65
2024-12-16,65
2024-12-23,65
2024-12-30,65
2025-01-06,57
2025-01-13,57
2025-01-20,57
2025-01-27,57
2025-02-03,54
2025-02-10,54
2025-02-17,54
2025-02-24,54
2025-03-03,54
2025-03-10,54
2025-03-17,54
2025-03-24,54
2025-03-31,54
2025-04-07,52
2025-04-14,52
2025-04-21,52
2025-04-28,52
2025-05-05,56
2025-05-12,56
2025-05-19,56
2025-05-26,56
2025-06-02,53
2025-06-09,53
2025-06-16,53
2025-06-23,53
2025-06-30,53
2025-07-07,56
2025-07-14,56
2025-07-21,56
2025-07-28,56
2025-08-04,62
2025-08-11,62
2025-08-18,62
2025-08-25,62
2025-09-01,61
2025-09-08,61
2025-09-15,61
2025-09-22,61
2025-09-29,61
2025-10-06,57
2025-10-13,57
2025-10-20,57
2025-10-27,57
2025-11-03,100
2025-11-10,100
2025-11-17,100
2025-11-24,100
2025-12-01,61
