Category: All categories

Week,starbucks: (United States)
2023-12-31,97
2024-01-07,70
2024-01-14,63
2024-01-21,62
2024-01-28,61
2024-02-04,59
2024-02-11,56
2024-02-18,56
2024-02-25,54
2024-03-03,57
2024-03-10,61
2024-03-17,58
2024-03-24,58
2024-03-31,58
2024-04-07,56
2024-04-14,58
2024-04-21,58
2024-04-28,60
2024-05-05,76
2024-05-12,66
2024-05-19,59
2024-05-26,62
2024-06-02,59
2024-06-09,59
2024-06-16,59
2024-06-23,63
2024-06-30,61
2024-07-07,61
2024-07-14,66
2024-07-21,56
2024-07-28,63
2024-08-04,61
2024-08-11,66
2024-08-18,82
2024-08-25,68
2024-09-01,61
2024-09-08,62
2024-09-15,60
2024-09-22,56
2024-09-29,57
2024-10-06,56
2024-10-13,56
2024-10-20,60
2024-10-27,57
2024-11-03,70
2024-11-10,82
2024-11-17,60
2024-11-24,78
2024-12-01,60
2024-12-08,60
2024-12-15,66
2024-12-22,100
2024-12-29,71
